number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_lr,params_scheduler_gamma,params_scheduler_step_size,user_attrs_epoch_10_train_acc,user_attrs_epoch_10_val_acc,user_attrs_epoch_11_train_acc,user_attrs_epoch_11_val_acc,user_attrs_epoch_12_train_acc,user_attrs_epoch_12_val_acc,user_attrs_epoch_13_train_acc,user_attrs_epoch_13_val_acc,user_attrs_epoch_14_train_acc,user_attrs_epoch_14_val_acc,user_attrs_epoch_15_train_acc,user_attrs_epoch_15_val_acc,user_attrs_epoch_1_train_acc,user_attrs_epoch_1_val_acc,user_attrs_epoch_2_train_acc,user_attrs_epoch_2_val_acc,user_attrs_epoch_3_train_acc,user_attrs_epoch_3_val_acc,user_attrs_epoch_4_train_acc,user_attrs_epoch_4_val_acc,user_attrs_epoch_5_train_acc,user_attrs_epoch_5_val_acc,user_attrs_epoch_6_train_acc,user_attrs_epoch_6_val_acc,user_attrs_epoch_7_train_acc,user_attrs_epoch_7_val_acc,user_attrs_epoch_8_train_acc,user_attrs_epoch_8_val_acc,user_attrs_epoch_9_train_acc,user_attrs_epoch_9_val_acc,state
0,0.5606936416184971,2025-05-09 19:06:00.482837,2025-05-09 19:06:06.616481,0 days 00:00:06.133644,64,0.2676810488734396,0.000270451789956408,0.8657678392808498,7,,,,,,,,,,,,,0.3108108108108108,0.24855491329479767,0.3667953667953668,0.3872832369942196,0.4768339768339768,0.5606936416184971,0.527027027027027,0.5491329479768786,0.584942084942085,0.5317919075144508,0.6138996138996139,0.5260115606936416,0.640926640926641,0.5491329479768786,0.6795366795366795,0.5260115606936416,,,COMPLETE
1,0.3930635838150289,2025-05-09 19:06:06.624216,2025-05-09 19:06:12.025105,0 days 00:00:05.400889,64,0.4780490625310788,0.008040541360712994,0.9568692737686497,8,,,,,,,,,,,,,0.2702702702702703,0.3236994219653179,0.3667953667953668,0.3930635838150289,0.3474903474903475,0.36416184971098264,0.33783783783783783,0.35260115606936415,0.36486486486486486,0.36416184971098264,0.32625482625482627,0.3583815028901734,0.3474903474903475,0.3699421965317919,,,,,COMPLETE
2,0.6936416184971098,2025-05-09 19:06:12.030637,2025-05-09 19:06:26.605444,0 days 00:00:14.574807,16,0.27381694396095824,0.0002372737760756246,0.9369230263606243,4,0.9362934362934363,0.6763005780346821,0.9459459459459459,0.653179190751445,0.9575289575289575,0.6647398843930635,,,,,,,0.3687258687258687,0.3930635838150289,0.5173745173745173,0.48554913294797686,0.6332046332046332,0.5606936416184971,0.6853281853281853,0.5780346820809249,0.747104247104247,0.6242774566473989,0.8088803088803089,0.6011560693641619,0.8571428571428571,0.6936416184971098,0.8725868725868726,0.6936416184971098,0.9092664092664092,0.6358381502890174,COMPLETE
3,0.6473988439306358,2025-05-09 19:06:26.611660,2025-05-09 19:06:39.336660,0 days 00:00:12.725000,64,0.11037206527026955,0.00015466514109509802,0.9777435997942192,10,0.8861003861003861,0.5838150289017341,0.9054054054054054,0.6184971098265896,0.9362934362934363,0.5895953757225434,0.9420849420849421,0.6473988439306358,0.9324324324324325,0.6358381502890174,0.9671814671814671,0.6358381502890174,0.31467181467181465,0.3468208092485549,0.5115830115830116,0.4797687861271676,0.6023166023166023,0.5317919075144508,0.6351351351351351,0.5780346820809249,0.7432432432432432,0.5375722543352601,0.803088803088803,0.5780346820809249,0.8648648648648649,0.5895953757225434,0.7857142857142857,0.5549132947976878,0.8494208494208494,0.5953757225433526,COMPLETE
4,0.6473988439306358,2025-05-09 19:06:39.343083,2025-05-09 19:06:53.793020,0 days 00:00:14.449937,32,0.47324057723174984,1.2844668819573206e-05,0.8681039485204632,5,0.7972972972972973,0.5491329479768786,0.7837837837837838,0.6473988439306358,0.8088803088803089,0.6127167630057804,0.8243243243243243,0.6127167630057804,0.8397683397683398,0.5895953757225434,0.8455598455598455,0.630057803468208,0.2876447876447876,0.4046242774566474,0.4266409266409266,0.4797687861271676,0.525096525096525,0.4508670520231214,0.5772200772200772,0.5317919075144508,0.6061776061776062,0.49710982658959535,0.6177606177606177,0.5780346820809249,0.6621621621621622,0.5491329479768786,0.7200772200772201,0.5433526011560693,0.7335907335907336,0.6011560693641619,COMPLETE
5,0.5144508670520231,2025-05-09 19:06:53.799992,2025-05-09 19:06:58.549884,0 days 00:00:04.749892,64,0.15995557417497996,4.916851852219462e-05,0.9344985787514131,9,,,,,,,,,,,,,0.3281853281853282,0.35260115606936415,0.45366795366795365,0.4046242774566474,0.5135135135135135,0.5086705202312138,0.637065637065637,0.5664739884393064,0.6795366795366795,0.5664739884393064,0.7104247104247104,0.5144508670520231,,,,,,,PRUNED
6,0.5953757225433526,2025-05-09 19:06:58.554808,2025-05-09 19:07:07.138148,0 days 00:00:08.583340,64,0.2813305883839448,1.745397016750197e-05,0.7770971411020147,7,0.7702702702702703,0.6242774566473989,0.806949806949807,0.5953757225433526,,,,,,,,,0.3166023166023166,0.31213872832369943,0.46332046332046334,0.5433526011560693,0.5424710424710425,0.5028901734104047,0.5868725868725869,0.5722543352601156,0.6428571428571429,0.5317919075144508,0.6312741312741312,0.5838150289017341,0.6988416988416989,0.5895953757225434,0.7432432432432432,0.5895953757225434,0.7374517374517374,0.6011560693641619,PRUNED
7,0.5606936416184971,2025-05-09 19:07:07.143429,2025-05-09 19:07:14.507034,0 days 00:00:07.363605,16,0.39227112482174264,1.457899570623412e-05,0.7792314159070871,10,,,,,,,,,,,,,0.3030888030888031,0.43352601156069365,0.47297297297297297,0.5028901734104047,0.5617760617760618,0.5260115606936416,0.6563706563706564,0.5491329479768786,0.6814671814671814,0.5664739884393064,0.7258687258687259,0.5606936416184971,,,,,,,PRUNED
8,0.3583815028901734,2025-05-09 19:07:14.510822,2025-05-09 19:07:20.186749,0 days 00:00:05.675927,32,0.4938800709662762,0.009951852585857197,0.8438353236591893,4,,,,,,,,,,,,,0.2625482625482625,0.3583815028901734,0.3127413127413127,0.3583815028901734,0.305019305019305,0.35260115606936415,0.3359073359073359,0.35260115606936415,0.3127413127413127,0.35260115606936415,0.3088803088803089,0.3583815028901734,,,,,,,PRUNED
9,0.5838150289017341,2025-05-09 19:07:20.191685,2025-05-09 19:07:30.607273,0 days 00:00:10.415588,32,0.2908476747073647,0.0011258501998610804,0.7028710849298155,4,0.7625482625482626,0.5780346820809249,0.7953667953667953,0.5838150289017341,,,,,,,,,0.29922779922779924,0.3988439306358382,0.4691119691119691,0.5664739884393064,0.5077220077220077,0.5606936416184971,0.5752895752895753,0.5433526011560693,0.611969111969112,0.5953757225433526,0.6602316602316602,0.5838150289017341,0.6428571428571429,0.6069364161849711,0.6891891891891891,0.6127167630057804,0.7374517374517374,0.5895953757225434,PRUNED
